Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
5470,1984,George Orwell,"Orwell, George","Erich Fromm, George Orwell","=""0451524934""","=""9780451524935""",3,4.15,New American Library,Mass Market Paperback,328,1950,1949,,2007/07/02,,,read,,,,1,,,0,,,,,
4381,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""0307347974""","=""9780307347978""",4,3.97,Plaza y Janes,Paperback,174,2006,1953,,2007/07/02,,,read,,,,1,,,0,,,,,
28862,The Prince,Niccolò Machiavelli,"Machiavelli, Niccolò","Adolph Caso, Rufus Goodwin, Benjamin Martinez","=""0937832383""","=""9780937832387""",3,3.78,Dante University of America Press,Paperback,140,2003,1532,,2007/07/02,,,read,,,,1,,,0,,,,,
616993,Ethics,Dietrich Bonhoeffer,"Bonhoeffer, Dietrich",,"=""068481501X""","=""9780684815015""",4,4.17,Touchstone,Paperback,384,1995,1955,,2007/07/02,,,read,,,,1,,,0,,,,,
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333846""","=""9780385333849""",4,4.06,Dial Press,Paperback,275,1999,1969,,2007/07/02,,,read,,,,1,,,0,,,,,
160171,Just for Fun: The Story of an Accidental Revolutionary,Linus Torvalds,"Torvalds, Linus",David Diamond,"=""0066620732""","=""9780066620732""",4,3.91,HarperBusiness,Paperback,288,2002,2001,,2007/06/28,,,read,,,,1,,,0,,,,,
44954,Code: And Other Laws of Cyberspace,Lawrence Lessig,"Lessig, Lawrence",,"=""0465039138""","=""9780465039135""",4,3.94,Basic Books,Paperback,320,2000,1999,,2007/06/28,,,read,,,,1,,,0,,,,,
72011,Free Culture: The Nature and Future of Creativity,Lawrence Lessig,"Lessig, Lawrence",,"=""0143034650""","=""9780143034650""",4,4.12,Penguin Books,Paperback,368,2005,2004,,2007/06/28,,,read,,,,1,,,0,,,,,
22320,"Pattern Recognition (Blue Ant, #1)",William Gibson,"Gibson, William",,"=""0425198685""","=""9780425198681""",3,3.86,Berkley Books,Mass Market Paperback,367,2005,2003,,2007/06/28,,,read,,,,1,,,0,,,,,
31463,Far from the Madding Crowd,Thomas Hardy,"Hardy, Thomas","Rosemarie Morgan, Shannon Russell","=""0141439653""","=""9780141439655""",1,3.92,Penguin Books,Paperback,433,2003,1874,,2007/06/28,,,read,,,,1,,,0,,,,,
960,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,"Brown, Dan",,"=""1416524797""","=""9781416524793""",2,3.86,Pocket Books,Mass Market Paperback,736,2006,2000,,2007/06/27,,,read,,,,1,,,0,,,,,
426826,When Jesus Came to Harvard: Making Moral Choices Today,Harvey Cox,"Cox, Harvey",,"=""061871054X""","=""9780618710546""",4,3.81,Mariner Books,Paperback,352,2006,2004,,2007/06/27,,,read,,,,1,,,0,,,,,
77084,The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,"Friedman, Thomas L.",,"=""0374292884""","=""9780374292881""",1,3.66,"Farrar, Straus and Giroux",Hardcover,488,2005,2005,,2007/06/27,,,read,"This book really sucked. There aren't many books that I've given up on halfway through, but this was one of them. He was either misinformed or uninformed the whole way through, and somehow it became a bestseller.",,,1,,,0,,,,,
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316346624""","=""9780316346627""",2,3.93,Back Bay Books,Paperback,301,2002,2000,,2007/06/26,,,read,,,,1,,,0,,,,,
16981,Invisible Man,Ralph Ellison,"Ellison, Ralph",,"=""0679732764""","=""9780679732761""",5,3.84,Vintage,Paperback,581,1995,1952,,2007/06/27,,,read,,,,1,,,0,,,,,
833213,One Hundred Years of Solitude,Gabriel García Márquez,"Márquez, Gabriel García",,"=""0060919655""","=""9780060919658""",5,4.04,HarperPerennial,Paperback,422,1991,1967,,2007/06/26,,,read,,,,1,,,0,,,,,
385,On Bullshit,Harry G. Frankfurt,"Frankfurt, Harry G.",,"=""0691122946""","=""9780691122946""",2,3.55,Princeton University Press,Hardcover,67,2005,1986,,2007/06/26,,,read,"Given the title, maybe surprisingly (or predictably?) non-factual. Not nearly as concise as the physical book would make you expect.",,,1,,,0,,,,,
